Accounting Program Code,Accounting Program Description,prog_abb,prog_full,min_year,max_year,min_file_year,max_file_year
6744,AVERAGE CROP REVENUE ELECTION-DIRECT,ACRE,Average Crop Revenue Election,2009,2013,2011,2017
6749,ACRE PAYMENTS,ACRE,Average Crop Revenue Election,2009,2009,2010,2010
6749,AVERAGE CROP REVENUE ELECTION-ACRE,ACRE,Average Crop Revenue Election,2009,2013,2011,2017
6754,AVERAGE CROP REVENUE ELECTION - DIRECT,ACRE,Average Crop Revenue Election,2009,2013,2017,2024
2546,FEED PROGRAM - AMERICAN INDIAN,AILFP,American Indian Livestock Feed Program,2005,2005,2005,2006
2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,ARC-CO,Agricultural Risk Coverage-County Coverage,2014,2024,2015,2025
2862,AGRICULTURAL RISK COVERAGE -COUNTY PILOT,ARC-CO,Agricultural Risk Coverage-County Coverage,2016,2018,2018,2020
2862,ARC PROGRAM-COUNTY PILOT COVERAGE,ARC-CO,Agricultural Risk Coverage-County Coverage,2016,2018,2022,2023
2931,AGRICULTURE RISK COVERAGE-CO-MANUAL,ARC-CO,Agricultural Risk Coverage-County Coverage,2017,2017,2024,2024
2838,ARC PROGRAM-COUNTY COVERAGE,ARC-CO,Agricultural Risk Coverage-County Coverage,2018,2021,2022,2025
2840,AGRICULTURAL RISK COVERAGE - INDIVIDUAL,ARC-IC,Agricultural Risk Coverage-Individual Coverage,2014,2024,2015,2025
2840,ARC PROGRAM INDIVIDUAL COVERAGE,ARC-IC,Agricultural Risk Coverage-Individual Coverage,2018,2021,2022,2025
2750,BIOMASS CROP ASSISTANCE,BCAP,Biomass Crop Assistance Program,2009,2010,2009,2010
2753,BIOMASS CROP ASSISTANCE TITLE 1 CROP RESIDUE,BCAP,Biomass Crop Assistance Program,2009,2010,2009,2010
2776,CROP ASSISTANCE PROGRAM,BCAP,Biomass Crop Assistance Program,2009,2009,2011,2015
2750,CRP BIOMASS CROP ASSISTANCE PROGRAM,BCAP,Biomass Crop Assistance Program,2010,2012,2011,2013
2853,BIOMASS CROP ASSIST COLLECTION MATCH PAY,BCAP,Biomass Crop Assistance Program,2010,2010,2015,2015
2766,BIOMASS CROP ASSIST COLLECTION MATCH PAY,BCAP,Biomass Crop Assistance Program,2011,2017,2011,2018
2767,BIOMASS CROP ASSISTANCE - ANNUAL RENTAL,BCAP,Biomass Crop Assistance Program,2011,2015,2011,2020
2768,BIOMASS CROP ASSISTANCE - COST-SHARE,BCAP,Biomass Crop Assistance Program,2011,2015,2011,2019
2767,BCAP ANNUAL RENTAL WEB BASED,BCAP,Biomass Crop Assistance Program,2012,2012,2022,2024
2751,BIOMASS CROP ASSISTANCE-TECHNICAL ASSIST,BCAP,Biomass Crop Assistance Program,2014,2014,2015,2019
4927,CARES ACT (OLP),CARES-ACT,CARES-ACT,2020,2020,2022,2024
2715,CROP DISASTER PROGRAM,CDP,Crop Disaster Program,2005,2005,2008,2014
